,probe_fail+probe_success
0,-5.661482069104112
1,0.0
2,-8.667294554638254
3,0.0
4,-8.43061018617084
5,-8.127009623664941
6,0.0
7,0.0
8,4.382405661077327
9,-6.778910899550644
10,6.202404042938609
11,-6.575606773282891
12,-7.584605960576841
13,0.0
14,8.234093208670268
15,0.0
16,0.0
17,0.0
18,4.857640960685804
19,11.394238960845403
20,9.078997277336976
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,5.325652009501182
27,10.94881398669223
28,10.179571433688384
29,0.0
30,5.123334745698161
31,7.600578362092391
32,-6.593732078765597
33,5.291643946069072
34,0.0
35,9.868487172839831
36,0.0
37,0.0
38,-8.110880400894205
39,-4.854893074609845
40,0.0
41,0.0
42,8.43501052758519
43,0.0
44,5.582113969292604
45,0.0
46,5.883392901890773
47,-5.571802879854218
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,-6.753274836068377
55,-4.89972820445844
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,-4.70502486571267
62,-4.894388726545775
63,0.0
64,0.0
65,7.351833728355758
66,9.909752482820785
67,7.791459623365635
68,0.0
69,0.0
70,8.538196523648592
71,0.0
72,6.535528645542305
73,6.215405500507863
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,-4.8518923492199
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,-5.660107238165261
99,-7.500539888365868
100,0.0
101,-4.44954856873266
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,-6.286748274983775
111,0.0
112,6.30890099289915
113,0.0
114,0.0
115,-5.627232386648202
116,0.0
117,0.0
118,0.0
119,-5.54682668639362
120,4.8138932232054525
121,0.0
122,0.0
123,0.0
124,0.0
125,5.194013989579495
126,0.0
127,5.4319079468779226
128,0.0
129,0.0
130,0.0
131,4.692764227858452
132,0.0
133,-8.295391826490778
134,-5.179451822590165
135,0.0
136,-8.99435713185582
137,-9.982326862047719
138,0.0
139,-6.3152540109272515
140,-9.314786224952526
141,0.0
142,-7.853062341419503
143,5.984212309184914
144,-8.339447392706264
145,-5.283148297788819
146,0.0
147,-8.045078645169603
148,-8.79218052066536
149,8.704151870758794
150,0.0
151,-5.704753837087549
152,0.0
153,0.0
154,11.1501797476754
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,7.142360440319452
162,0.0
163,0.0
164,0.0
165,6.197729307298039
166,0.0
167,0.0
168,7.781397883339449
169,0.0
170,0.0
171,-5.0762962677049535
172,0.0
173,-6.542853861263537
174,0.0
175,0.0
176,6.303954273631916
177,0.0
178,6.068123937951881
179,0.0
180,5.311630977014142
181,-9.14922439090433
182,-8.487596761983765
183,0.0
184,0.0
185,-5.191285670006815
186,-6.884100617874465
187,0.0
188,0.0
189,-7.939704790626969
190,-5.697079507194621
191,0.0
192,-5.976826455762495
193,0.0
194,0.0
195,-5.134597375473633
196,-5.386768955941947
197,8.116202293426564
198,-6.683018737036071
199,7.6597192812959864
200,0.0
201,0.0
202,0.0
203,9.670366393488626
204,0.0
205,11.001263138068262
206,9.399137775908905
207,0.0
208,5.204510391060298
209,7.909523611985042
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,-4.738427842230192
218,0.0
219,0.0
220,5.78371657730203
221,-9.233003664381007
222,0.0
223,0.0
224,-8.680822295144976
225,-6.040084701333434
226,0.0
227,0.0
228,0.0
229,0.0
230,-8.813802092090812
231,0.0
232,0.0
233,0.0
234,-5.0022494596380565
235,0.0
236,0.0
237,8.965800875726039
238,0.0
239,6.412998783532992
240,0.0
241,-7.221653065157117
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,4.409923130217174
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
