,probe_fail
0,0.0
1,-5.061182295689111
2,-6.513085683572375
3,0.0
4,-7.437629816431265
5,-4.510700162583191
6,0.0
7,0.0
8,5.094834099247312
9,0.0
10,8.46357306951588
11,0.0
12,0.0
13,6.071413949272305
14,15.653456065116645
15,13.905223288369337
16,0.0
17,0.0
18,5.689182065924464
19,14.889856870123406
20,6.893729376514604
21,5.942010754968327
22,0.0
23,-9.144770936788019
24,0.0
25,0.0
26,0.0
27,15.0922335799932
28,12.071521309565789
29,0.0
30,5.674324511747625
31,4.202537711692639
32,-6.526671511812339
33,5.917582239567101
34,5.112409488085214
35,14.24086607460163
36,0.0
37,4.425860108621403
38,-11.612019358194763
39,-5.132689454722389
40,0.0
41,0.0
42,0.0
43,0.0
44,7.775201166918118
45,0.0
46,6.080532707227091
47,-5.627122342255208
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,4.656007029614371
57,0.0
58,0.0
59,0.0
60,-7.659835359304915
61,-4.464263913287279
62,0.0
63,-3.931003582027455
64,0.0
65,3.975207855710245
66,5.995661828284402
67,6.720861103306364
68,0.0
69,0.0
70,6.735112088870622
71,0.0
72,0.0
73,3.8641365452392793
74,0.0
75,0.0
76,0.0
77,0.0
78,-9.848236147693344
79,-7.721704206129196
80,0.0
81,0.0
82,5.526158842753204
83,6.826830117084559
84,-4.549866159069578
85,0.0
86,4.29499841229437
87,4.718885384874535
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,-5.395662756031487
99,-4.9694237006911495
100,0.0
101,-3.892251802949321
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,-4.6175405307576085
111,0.0
112,0.0
113,0.0
114,0.0
115,-5.826936778603786
116,0.0
117,0.0
118,0.0
119,0.0
120,8.479139184177166
121,5.745088764920572
122,0.0
123,0.0
124,0.0
125,5.850469274245612
126,0.0
127,8.705621930685414
128,0.0
129,0.0
130,0.0
131,5.4197867705095994
132,0.0
133,-8.339728613687216
134,0.0
135,0.0
136,0.0
137,-9.460645594791247
138,0.0
139,0.0
140,-7.277022836646717
141,-5.058423988625449
142,-7.156731968492939
143,5.9383619388856514
144,-6.380796759413321
145,0.0
146,0.0
147,-6.893478614722895
148,0.0
149,14.513067806445537
150,0.0
151,-7.0829541382364605
152,6.58115585462296
153,-4.064861883343003
154,16.504165993425957
155,7.8552096799110185
156,6.625146035675604
157,0.0
158,0.0
159,0.0
160,0.0
161,10.823716194087064
162,0.0
163,0.0
164,0.0
165,4.726801276787147
166,0.0
167,6.94446206953642
168,8.697137340212517
169,0.0
170,4.53494523199521
171,-4.6654224074526836
172,0.0
173,-6.505668056316152
174,0.0
175,0.0
176,0.0
177,0.0
178,4.91716805888811
179,0.0
180,0.0
181,-9.813748008638786
182,0.0
183,4.157748378158857
184,0.0
185,0.0
186,-6.1472811660925775
187,-5.434943861067132
188,0.0
189,-6.632103480115736
190,-7.616219300212818
191,0.0
192,-5.210536433028201
193,0.0
194,0.0
195,0.0
196,-7.500677409988705
197,7.782679585688361
198,-4.660386481974966
199,5.381968456542037
200,0.0
201,0.0
202,0.0
203,6.463481289339509
204,4.208470168500388
205,6.824763049576399
206,9.439864082752736
207,0.0
208,4.334558814463269
209,4.228638073871305
210,-5.863219998814196
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,-4.506834245262552
217,0.0
218,7.443127593072384
219,0.0
220,7.805828954665983
221,-4.033507753121167
222,-5.827270651491559
223,0.0
224,-6.7319743238442316
225,0.0
226,-6.745873138409509
227,0.0
228,-4.2404430231204
229,0.0
230,-6.631128031063391
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,7.556940480945948
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,4.5579290409020885
245,-4.097369676723905
246,0.0
247,0.0
248,5.32379117996787
249,0.0
250,0.0
251,0.0
252,0.0
253,4.199517099927988
254,0.0
255,0.0
256,-5.9198541726063665
257,6.276912496546607
258,0.0
259,0.0
260,0.0
261,5.042106603563776
262,8.855228275461661
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
